Id,SalePrice
1461,113728.80897845083
1462,158646.57397289746
1463,189701.7945190848
1464,191417.45575393795
1465,213997.17633548004
1466,173403.3903749006
1467,185484.50122284857
1468,159455.33792165207
1469,188121.78404365748
1470,116046.7014237593
1471,179134.41300931375
1472,98916.74021570531
1473,93305.60377533108
1474,144309.2782336305
1475,107405.64331783855
1476,386306.5918972648
1477,267828.8918470639
1478,295191.5791847214
1479,290296.03698124655
1480,475555.07510123454
1481,302303.9522770773
1482,206737.36737070754
1483,178713.74741792152
1484,158262.57699239787
1485,181167.73191633789
1486,194190.16714612418
1487,317790.98048386804
1488,226211.48540113764
1489,208503.73461626313
1490,244030.36146278065
1491,193141.69393659086
1492,97361.18228850386
1493,161726.7171030978
1494,322263.13017399923
1495,291917.0884553389
1496,227399.49163099448
1497,176751.41668504474
1498,161317.9476607479
1499,151805.29503569132
1500,143588.66771247998
1501,197719.57437016512
1502,130333.61751680887
1503,279910.38282648515
1504,237553.50950162538
1505,228355.564748666
1506,186353.88884247694
1507,261281.04993332038
1508,209512.5810315838
1509,150788.74015629588
1510,147825.01350852885
1511,165576.51256215063
1512,186761.072363885
1513,159650.201387565
1514,178133.8420760723
1515,226562.59530559558
1516,166966.36721617237
1517,166159.2973680752
1518,119169.53685103563
1519,227238.11268730232
1520,127915.98601171192
1521,136283.12663011716
1522,198277.20021562977
1523,108972.5548689406
1524,126826.96047241025
1525,118820.15437003545
1526,107678.58970922598
1527,106540.24766137051
1528,138803.62464140996
1529,161869.30772387297
1530,194760.06274607137
1531,119800.97106554701
1532,97373.75473259526
1533,168382.31116512505
1534,120475.07365196818
1535,157239.38246815212
1536,95426.7530128438
1537,51360.810504253226
1538,148241.82950265438
1539,210481.38937287242
1540,119080.67160817934
1541,137448.21661348356
1542,154946.7902351618
1543,193484.96067848534
1544,78379.11791173647
1545,128421.66729200569
1546,135349.56011601893
1547,138904.75002616493
1548,148952.38658449455
1549,127386.87696160634
1550,144313.79367728776
1551,114081.0981690212
1552,156109.13350848694
1553,153637.29248549347
1554,119827.94639946127
1555,167374.84549085464
1556,55487.52670072951
1557,151661.9237836172
1558,105687.93453581198
1559,51486.41928765712
1560,125797.25075682171
1561,165605.9234586021
1562,120839.78071786567
1563,126663.29700068187
1564,164570.28914115066
1565,146589.69365906858
1566,231466.59348961175
1567,70676.3459444297
1568,237765.19727997217
1569,133174.13199641227
1570,122428.26782974332
1571,101631.40188222074
1572,148552.93917425838
1573,264144.9799981929
1574,142577.4107617429
1575,228125.54083272628
1576,234531.93329511877
1577,185895.25376300822
1578,151891.88987994578
1579,152934.2797176502
1580,197318.88478392918
1581,145447.10195816812
1582,123797.00083619119
1583,289791.99812923186
1584,223013.6793496795
1585,132435.7325216587
1586,53877.267804542105
1587,101240.68903587037
1588,151748.87694455285
1589,105269.34051998222
1590,129439.15034636867
1591,94328.71226095225
1592,138822.95010610612
1593,125638.75127887879
1594,137978.06695081855
1595,121203.76971675587
1596,231900.8393908511
1597,196659.8252409076
1598,218053.23005547887
1599,178466.12364946635
1600,168359.01808478794
1601,56599.6055683383
1602,125362.00481831896
1603,44593.148452533365
1604,256611.1481010523
1605,233877.78837929192
1606,164064.87427187673
1607,162630.49254325943
1608,209626.57203195497
1609,197237.59191432974
1610,158328.88070067842
1611,129454.69078045682
1612,165160.79259880786
1613,166310.86214645844
1614,117465.46238698502
1615,83875.29128587147
1616,62078.056561007055
1617,75667.3011259798
1618,123923.6157966468
1619,135191.72851830485
1620,180638.19628669962
1621,138711.7157646277
1622,136023.55347306415
1623,255072.38195285416
1624,213569.26633904406
1625,116598.69764625654
1626,172986.9579095661
1627,197416.98923724232
1628,262414.434939702
1629,179779.62786026008
1630,360027.6178592599
1631,239062.97423428443
1632,252295.3239338183
1633,174839.85321342363
1634,183858.9899807222
